,Name,symbol,Emissions (tCO2e),PARENT CO. PERCENT OWNERSHIP
EASTMAN CHEMICAL CO,SOLUTIA INC - INDIAN ORCHARD PLANT,EMN,72689.676,100.0
EASTMAN CHEMICAL CO,Eastman Chemical Texas City Operations,EMN,39123.288,100.0
EASTMAN CHEMICAL CO,TAMINCO US LLC,EMN,55420.592,100.0
EASTMAN CHEMICAL CO,Eastman Chemical - Texas Operations,EMN,2228592.126,100.0
EASTMAN CHEMICAL CO,TAMINCO US LLC,EMN,65085.904,100.0
EDISON INTERNATIONAL,Mountainview Generating Station,EIX,1154108.472,100.0
EDISON INTERNATIONAL,Southern California Edison,EIX,151588.08,100.0
EDISON INTERNATIONAL,Salt River Project - T & D Equipment,EIX,7334.76,4.02
ENERGY TRANSFER LP,PEI Power Corporation,ET,24056.17,100.0
ENERGY TRANSFER LP,Lamar Compressor Station,ET,41543.208,0.1
ENERGY TRANSFER LP,Brookeland Gas Plant,ET,71781.83,100.0
ENERGY TRANSFER LP,"MEP Station 3 Perryville, LA",ET,52782.008,0.1
ENERGY TRANSFER LP,King Ranch Gas Plant,ET,297028.95,100.0
ENERGY TRANSFER LP,SUNOCO PARTNERS MARKETING & TERMINALS L.P. - MARCUS HOOK INDUSTRIAL COMPLEX,ET,216851.04,100.0
ENERGY TRANSFER LP,FLORIDA GAS TRANSMISSION COMPANY - BROOKER,ET,71490.004,100.0
ENERGY TRANSFER LP,FLORIDA GAS TRANSMISSION COMPANY - CARRYVILLE,ET,41261.678,50.0
ENERGY TRANSFER LP,FLORIDA GAS TRANSMISSION COMPANY - FRANKLINTON,ET,60714.36,50.0
ENERGY TRANSFER LP,FLORIDA GAS TRANSMISSION COMPANY - LECANTO,ET,20111.984,100.0
