,Name,symbol,Emissions (tCO2e),PARENT CO. PERCENT OWNERSHIP
CRESTWOOD EQUITY PARTNERS LP,Bear Den Gas Plant,CEQP,38125.466,100.0
CVR ENERGY INC,COFFEYVILLE RESOURCES NITROGEN FERT.,CVI,1689228.57,100.0
CVR ENERGY INC,WYNNEWOOD REFINING CO,CVI,743181.048,100.0
CVR ENERGY INC,"Coffeyville Resources Refining & Marketing, LLC",CVI,843334.93,100.0
CVR ENERGY INC,"East Dubuque Nitrogen Fertilizers, LLC",CVI,841698.98,100.0
DARLING INGREDIENTS INC,Darling Ingredients Inc.,DAR,48258.86,100.0
DARLING INGREDIENTS INC,Darling Ingredients Inc.,DAR,46803.592,100.0
DARLING INGREDIENTS INC,Darling Ingredients Inc.,DAR,26920.954,100.0
DARLING INGREDIENTS INC,Darling Ingredients Inc.,DAR,34755.824,100.0
DARLING INGREDIENTS INC,Darling Ingredients Inc.,DAR,21176.42,100.0
DARLING INGREDIENTS INC,Darling Ingredients Inc.,DAR,25263.404,100.0
DCP MIDSTREAM LP,WILCOX GAS PLANT,DCP,153846.78,100.0
DCP MIDSTREAM LP,MOBILE BAY NGL RECOVERY PLANT,DCP,37535.41,100.0
DCP MIDSTREAM LP,ROGGEN GAS PLANT,DCP,45930.856,100.0
DCP MIDSTREAM LP,GIDDINGS GAS PLANT,DCP,125102.73,100.0
DCP MIDSTREAM LP,DISCOVERY PRODUCER SERVICES LLC - DISCOVERY PARADIS FRACTIONATION PLANT,DCP,121232.826,40.0
DCP MIDSTREAM LP,WEST BEAUMONT GAS PLANT,DCP,11235.008,100.0
DCP MIDSTREAM LP,GULF PLAINS GAS PLANT,DCP,128878.678,100.0
DCP MIDSTREAM LP,CHITWOOD GAS PLANT,DCP,26603.008,100.0
DCP MIDSTREAM LP,LUCERNE GAS PLANT,DCP,212248.326,100.0
DCP MIDSTREAM LP,SOUTHWEST OZONA GAS PLANT,DCP,46078.492,100.0
DCP MIDSTREAM LP,SPINDLE GAS PROCESSING PLANT,DCP,48831.176,100.0
DCP MIDSTREAM LP,OZONA GAS PLANT,DCP,69720.726,62.5
DCP MIDSTREAM LP,ARTESIA GAS PLANT,DCP,95492.496,100.0
DCP MIDSTREAM LP,DISCOVERY PRODUCER SERVICES LLC - LAROSE GAS PROCESSING PLANT,DCP,151341.248,40.0
DCP MIDSTREAM LP,SHOLEM GAS PLANT,DCP,51434.414,100.0
DCP MIDSTREAM LP,PEGASUS GAS PLANT,DCP,68545.89,98.44706
DCP MIDSTREAM LP,North Terrebonne Gas Plant,DCP,45206.88,6.9
DCP MIDSTREAM LP,LINAM RANCH GAS PLANT,DCP,252722.674,100.0
DCP MIDSTREAM LP,PLATTEVILLE GAS PLANT,DCP,49647.27,100.0
DCP MIDSTREAM LP,SHERHAN GAS PLANT,DCP,72840.5,100.0
DCP MIDSTREAM LP,DCP MIDSTREAM - EUNICE GAS PLANT,DCP,152873.24,100.0
DCP MIDSTREAM LP,SPINDLETOP COMPRESSOR STATION,DCP,37070.426,100.0
DCP MIDSTREAM LP,MEWBOURN GAS PLANT,DCP,283827.074,100.0
DCP MIDSTREAM LP,GREELEY GAS PLANT,DCP,43311.746,100.0
DCP MIDSTREAM LP,SONORA GAS PLANT,DCP,11108.914,100.0
DCP MIDSTREAM LP,EAST TEXAS GAS PLANT,DCP,160589.27,100.0
DCP MIDSTREAM LP,SOUTH CHESTER CO2 REMOVAL FACILITY,DCP,599291.848,100.0
DCP MIDSTREAM LP,GOLDSMITH GAS PLANT,DCP,271605.25,100.0
DCP MIDSTREAM LP,DCP MIDSTREAM LP/OKARCHE GAS PLT,DCP,84301.3,100.0
DCP MIDSTREAM LP,Tebone Fractionator,DCP,10055.866,6.9
DCP MIDSTREAM LP,Roberts Ranch Gas Plant,DCP,46194.026,100.0
DCP MIDSTREAM LP,DCP MIDSTREAM LP/CIMARRON PLT,DCP,46979.864,100.0
DCP MIDSTREAM LP,DCP MIDSTREAM LP/KINGFISHER NATURAL G,DCP,31531.342,100.0
DCP MIDSTREAM LP,National Helium Plant,DCP,36080.282,100.0
DCP MIDSTREAM LP,WARNER CO2 TREATMENT PLANT,DCP,37716.822,100.0
DCP MIDSTREAM LP,Eagle-1 Gas Plant,DCP,123490.352,100.0
DCP MIDSTREAM LP,O'Connor Gas Plant,DCP,144010.57,100.0
DCP MIDSTREAM LP,Goliad Gas Plant,DCP,160112.676,100.0
DCP MIDSTREAM LP,Rawhide Gas Plant,DCP,68493.46,100.0
DCP MIDSTREAM LP,"DCP Midstream, LP",DCP,4551.075,100.0
DCP MIDSTREAM LP,ZIA II GAS PLANT,DCP,286071.15,100.0
DCP MIDSTREAM LP,DCP Midstream 430 Permian Basin,DCP,1294850.198,100.0
DCP MIDSTREAM LP,DCP Midstream 360 Anadarko Basin,DCP,1309900.916,100.0
DCP MIDSTREAM LP,DCP Midstream 355 Chautauqua Platform,DCP,62772.34,100.0
DCP MIDSTREAM LP,DCP Midstream 220 Gulf Coast Basin,DCP,205231.964,100.0
DCP MIDSTREAM LP,DCP Midstream 595 Piceance Basin,DCP,24878.146,100.0
DCP MIDSTREAM LP,DCP Midstream 540 Denver Basin,DCP,638173.948,100.0
DCP MIDSTREAM LP,DCP Midstream 260 East Texas Basin,DCP,104424.644,100.0
DCP MIDSTREAM LP,DCP Midstream 350 South Oklahoma Folded Belt,DCP,297170.778,100.0
DCP MIDSTREAM LP,"GCX Rankin Compressor Station, TX",DCP,79180.854,25.0
DCP MIDSTREAM LP,"GCX Waha Compressor Station, TX",DCP,41867.854,25.0
DCP MIDSTREAM LP,"GCX Big Wells Compressor Station, TX",DCP,162450.942,25.0
DCP MIDSTREAM LP,"GCX Devil’s River Compressor Station, TX",DCP,162384.796,25.0
DEERE & CO,JOHN DEERE HARVESTER WORKS,DE,18934.58,100.0
DEERE & CO,JOHN DEERE FNDRY WATERLOO,DE,44079.384,100.0
DELEK US HOLDINGS INC,Alon Bakersfield Refining,DK,16329.84,100.0
DELEK US HOLDINGS INC,"Delek Refining, Ltd",DK,453701.656,100.0
DELEK US HOLDINGS INC,BIG SPRING REFINERY,DK,452673.48,100.0
DELEK US HOLDINGS INC,ALON REFINING KROTZ SPRINGS INC,DK,354930.17,100.0
DELEK US HOLDINGS INC,LION OIL CO-EL DORADO REFINERY,DK,684794.914,100.0
DENBURY INC,Denbury Onshore LLC 220 Gulf Coast Gathering,DEN,158934.294,100.0
DENBURY INC,Denbury Onshore LLC 230 Arkla Gathering,DEN,40853.234,100.0
DENBURY INC,Denbury Onshore LLC 210 Mid-Gulf Coast Gathering,DEN,114284.588,100.0
DENBURY INC,Denbury Onshore LLC 395 Williston Gathering,DEN,136047.896,100.0
DENBURY INC,Denbury Onshore LLC 515 Powder River Gathering,DEN,45623.738,100.0
DENBURY INC,Delhi NGL Plant,DEN,86239.83,100.0
DEVON ENERGY CORP,SEA ROBIN GAS PROCESSING PLANT,DVN,62547.926,17.98
DEVON ENERGY CORP,OZONA GAS PLANT,DVN,69720.726,22.5
DEVON ENERGY CORP,WASSON CO2 REMOVAL PLANT,DVN,54623.936,12.0
DEVON ENERGY CORP,WILLARD CO2 SEPARATION PLANT,DVN,106150.396,10.0
DEVON ENERGY CORP,Gulf Coast Fractionators,DVN,152989.326,38.75
DEVON ENERGY CORP,DENVER UNIT CO 2 RECOVERY PLANT,DVN,151545.264,1.0
DEVON ENERGY CORP,360 Anadarko Basin DEC,DVN,319410.352,100.0
DEVON ENERGY CORP,430 Permian Basin DEC,DVN,517053.884,100.0
