IEFA: iShares Core MSCI EAFE ETF
Inception Date: 2012-10-18
Fund Holdings as of: 2022-04-13
Total Assets Under Management (in thousands):	98741000
Shares Outstanding: 1445600000
Expense Ratio: 0.07%
Tracks This Index: MSCI EAFE Investable Market Index
ETF Database Category: Foreign Large Cap Equities
Issuer: Blackrock Financial Management
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IEFA


Holding,Symbol,Weighting
Taylor Wimpey plc,TW,0.03%
TOPPAN INC.,7911,0.03%
Kajima Corporation,1812,0.03%
CK Infrastructure Holdings Limited,1038,0.03%
"Sumitomo Chemical Co., Ltd.",4005,0.03%
"Fuji Electric Co., Ltd.",6504,0.03%
Poste Italiane SpA,PST,0.03%
Trelleborg AB Class B,TREL.B,0.03%
Ampol Limited,ALD,0.03%
Kinnevik AB Class B,KINV.B,0.03%
Hongkong Land Holdings Limited,H78,0.03%
Singapore Airlines Ltd.,C6L,0.03%
"Naturgy Energy Group, S.A.",NTGY,0.03%
New World Development Co. Ltd.,17,0.03%
Johnson Matthey Plc,JMAT,0.03%
Vicinity Centres,VCX,0.03%
Centrica plc,CNA,0.03%
Allkem Limited,AKE,0.03%
BE Semiconductor Industries N.V.,BESI,0.03%
Singapore Technologies Engineering Ltd,S63,0.03%
"JFE Holdings, Inc.",5411,0.03%
Warehouses De Pauw SCA,WDP,0.03%
J Sainsbury plc,SBRY,0.03%
"MonotaRO Co., Ltd.",3064,0.03%
"Meiji Holdings Co., Ltd.",2269,0.03%
JSR Corp.,4185,0.03%
Wilmar International Limited,F34,0.03%
Storebrand ASA,STB,0.03%
Helvetia Holding Ltd,HELN,0.03%
Accor SA,AC,0.03%
Recordati Industria Chimica e Farmaceutica S.p.A.,REC,0.03%
Just Eat Takeaway.com N.V.,TKWY,0.03%
Electrocomponents plc,ECM,0.03%
Fastighets AB Balder Class B,BALD.B,0.03%
Spark New Zealand Limited,SPK,0.03%
Elbit Systems Ltd,ESLT,0.03%
Aurizon Holdings Ltd.,AZJ,0.03%
Carl Zeiss Meditec AG,AFX,0.03%
Atlas Arteria,ALX,0.03%
Obayashi Corporation,1802,0.03%
Yamaha Corporation,7951,0.03%
Scor SE,SCR,0.03%
DS Smith Plc,SMDS,0.03%
Aroundtown SA,AT1,0.03%
KONAMI HOLDINGS CORP,9766,0.03%
Davide Campari-Milano N.V.,CPR,0.03%
Orica Limited,ORI,0.03%
TOTO Ltd,5332,0.03%
Sands China Ltd.,1928,0.03%
SUMCO Corporation,3436,0.03%
Gecina SA,GFC,0.03%
Knorr-Bremse AG,KBX,0.03%
Dechra Pharmaceuticals PLC,DPH,0.03%
Evonik Industries AG,EVK,0.03%
Phoenix Group Holdings plc,PHNX,0.03%
REA Group Ltd,REA,0.03%
JB Hi-Fi Limited,JBH,0.03%
"Ricoh Company, Ltd.",7752,0.03%
PSP Swiss Property AG,PSPN,0.03%
"Hankyu Hanshin Holdings, Inc.",9042,0.03%
Treasury Wine Estates Limited,TWE,0.03%
Actividades de Construccion y Servicios SA,ACS,0.03%
Howden Joinery Group PLC,HWDN,0.03%
Cleanaway Waste Management Ltd.,CWY,0.03%
GALP Energia SGPS SA Class B,GALP,0.03%
HKT Trust and HKT Ltd,6823,0.03%
"Yamaha Motor Co., Ltd.",7272,0.03%
Wisetech Global Ltd.,WTC,0.03%
Lifco AB Class B,LIFCO.B,0.03%
Signify NV,LIGHT,0.03%
EMS-CHEMIE HOLDING AG,EMSN,0.03%
"Taiyo Yuden Co., Ltd.",6976,0.03%
Washington H. Soul Pattinson and Co. Ltd.,SOL,0.03%
"Nippon Prologis REIT, Inc.",3283,0.03%
Mediobanca - Banca di Credito Finanziario S.p.A,MB,0.03%
SKF AB Class B,SKF.B,0.03%
Tecan Group AG,TECN,0.03%
Japan Real Estate Investment Corp.,8952,0.03%
"Jeronimo Martins, SGPS S.A.",JMT,0.03%
"Sekisui Chemical Co., Ltd.",4204,0.03%
"Tokyo Electric Power Company Holdings, Incorporated",9501,0.03%
Mizrahi Tefahot Bank Ltd,MZTF,0.03%
TAISEI CORP,1801,0.03%
Royal Unibrew A/S,RBREW,0.03%
Ipsen SA,IPN,0.03%
British Land Company PLC,BLND,0.03%
Schroders PLC,SDR,0.03%
Avast Plc,AVST,0.03%
Embracer Group AB Class B,EMBRAC.B,0.03%
Japan Metropolitan Fund Investment Corporation,8953,0.03%
Electricite de France SA,EDF,0.03%
Klepierre SA,LI,0.03%
TOKYU CORPORATION,9005,0.03%
"Grifols, S.A. Class A",GRF,0.03%
Amplifon S.p.A.,AMP,0.03%
Scout24 SE,G24,0.03%
Daiwa House REIT Investment Corporation,8984,0.03%
Hikma Pharmaceuticals Plc,HIK,0.03%
Intermediate Capital Group plc,ICP,0.03%
"Osaka Gas Co., Ltd.",9532,0.03%
"Daito Trust Construction Co., Ltd.",1878,0.03%
Drax Group plc,DRX,0.03%
Aalberts N.V.,AALB,0.03%
Banco BPM SpA,BAMI,0.03%
Lendlease Group,LLC,0.03%
Weir Group PLC,WEIR,0.03%
Evolution Mining Limited,EVN,0.03%
SES SA FDR (Class A),SESG,0.02%
Bayerische Motoren Werke AG Pref,BMW3,0.02%
"Tobu Railway Co., Ltd.",9001,0.02%
Nisshin Seifun Group Inc.,2002,0.02%
Computacenter Plc,CCC,0.02%
"Kintetsu Group Holdings Co., Ltd.",9041,0.02%
Bechtle AG,BC8,0.02%
Wihlborgs Fastigheter AB,WIHL,0.02%
Travis Perkins plc,TPK,0.02%
Beazley Plc,BEZ,0.02%
Addtech AB Class B,ADDT.B,0.02%
Daetwyler Holding AG,DAE,0.02%
Alumina Limited,AWC,0.02%
Kornit Digital Ltd.,KRNT,0.02%
"HIROSE ELECTRIC CO., LTD.",6806,0.02%
Quilter Plc,QLT,0.02%
Bachem Holding AG Class B,BANB,0.02%
Azrieli Group Ltd.,AZRG,0.02%
Oji Holdings Corp.,3861,0.02%
CNP Assurances SA,CNP,0.02%
Tosoh Corporation,4042,0.02%
Marks and Spencer Group plc,MKS,0.02%
ams-OSRAM AG,AMS,0.02%
Domino\'s Pizza Enterprises Limited,DMP,0.02%
Sweco AB Class B,SWEC.B,0.02%
"Chiba Bank, Ltd.",8331,0.02%
Azbil Corporation,6845,0.02%
ConvaTec Group Plc,CTEC,0.02%
"Square Enix Holdings Co., Ltd.",9684,0.02%
Open House Group Co. Ltd,3288,0.02%
Nihon M&A Center Holdings Inc.,2127,0.02%
Leonardo SpA,LDO,0.02%
Yokogawa Electric Corp.,6841,0.02%
Nordic Semiconductor ASA,NOD,0.02%
"Fukuoka Financial Group, Inc.",8354,0.02%
Budweiser Brewing Co. APAC Ltd.,1876,0.02%
Avanza Bank Holding AB,AZA,0.02%
"Nissin Foods Holdings Co., Ltd.",2897,0.02%
Safestore Holdings plc,SAFE,0.02%
Whitehaven Coal Limited,WHC,0.02%
Haseko Corporation,1808,0.02%
Infrastrutture Wireless Italiane S.p.A.,INW,0.02%
Mobimo Holding AG,MOBN,0.02%
Galenica AG,GALE,0.02%
OCI NV,OCI,0.02%
Swire Properties Limited,1972,0.02%
Cofinimmo SA,COFB,0.02%
Sega Sammy Holdings Inc.,6460,0.02%
Direct Line Insurance Group Plc,DLG,0.02%
"BayCurrent Consulting, Inc.",6532,0.02%
"NGK Insulators, Ltd.",5333,0.02%
Pennon Group Plc,PNN,0.02%
thyssenkrupp AG,TKA,0.02%
Shimizu Corporation,1803,0.02%
Wacker Chemie AG,WCH,0.02%
Indivior PLC,INDV,0.02%
Bendigo & Adelaide Bank Ltd.,BEN,0.02%
"Nippon Shinyaku Co., Ltd.",4516,0.02%
PERSOL HOLDINGS CO. LTD.,2181,0.02%
AAK AB,AAK,0.02%
Koninklijke Boskalis Westminster N.V.,BOKA,0.02%
AB Sagax Class B,SAGA.B,0.02%
Altium,ALU,0.02%
Schindler Holding AG,SCHN,0.02%
Advance Residence Investment Corporation,3269,0.02%
Venture Corporation Limited,V03,0.02%
Bakkafrost P/F,BAKKA,0.02%
"Kakaku.com, Inc.",2371,0.02%
D\'Ieteren Group SA/NV,DIE,0.02%
Nordic Entertainment Group AB Class B,NENT.B,0.02%
Hargreaves Lansdown plc,HL,0.02%
Axfood AB,AXFO,0.02%
Genting Singapore Limited,G13,0.02%
Contact Energy Limited,CEN,0.02%
La Francaise des Jeux SA,FDJ,0.02%
BKW AG,BKW,0.02%
"Mcdonalds Holdings Company Japan, Ltd.",2702,0.02%
Sopra Steria Group SA,SOP,0.02%
SpareBank 1 SR-Bank ASA,SRBNK,0.02%
"GMO Payment Gateway, Inc.",3769,0.02%
Nine Entertainment Co. Holdings Limited,NEC,0.02%
Nextdc Limited,NXT,0.02%
Future plc,FUTR,0.02%
"JAPAN POST INSURANCE Co., Ltd.",7181,0.02%
ASM Pacific Technology Limited,522,0.02%
Chow Tai Fook Jewellery Group Limited,1929,0.02%
SEB SA,SK,0.02%
BAWAG Group AG,BG,0.02%
Grainger plc,GRI,0.02%
Mitsubishi HC Capital Inc.,8593,0.02%
Ackermans & van Haaren NV,ACKB,0.02%
Showa Denko K.K.,4004,0.02%
"Asahi Intecc Co., Ltd.",7747,0.02%
"Nagoya Railroad Co., Ltd.",9048,0.02%
LANXESS AG,LXS,0.02%
Keio Corporation,9008,0.02%
Coca-Cola HBC AG,CCH,0.02%
"Brother Industries, Ltd.",6448,0.02%
Harbour Energy Plc,HBR,0.02%
Mapletree Logistics Trust,M44U,0.02%
"Nomura Real Estate Holdings, Inc.",3231,0.02%
SSAB AB Class B,SSAB.B,0.02%
Frasers Logistics & Commercial Trust,BUOU,0.02%
SpareBank 1 SMN,MING,0.02%
"Keisei Electric Railway Co., Ltd.",9009,0.02%
HomeServe plc,HSV,0.02%
Deutsche Lufthansa AG,LHA,0.02%
Qantas Airways Limited,QAN,0.02%
Bucher Industries AG,BUCN,0.02%
Aker ASA Class A,AKER,0.02%
Aurubis AG,NDA,0.02%
NOF Corporation,4403,0.02%
Saab AB Class B,SAAB.B,0.02%
IG Group Holdings plc,IGG,0.02%
Soitec SA,SOI,0.02%
"Mitsui Chemicals, Inc.",4183,0.02%
Challenger Limited,CGF,0.02%
Bank of Queensland Limited,BOQ,0.02%
Sinch AB,SINCH,0.02%
"Toyo Suisan Kaisha, Ltd.",2875,0.02%
Derwent London plc,DLN,0.02%
"Marui Group Co., Ltd.",8252,0.02%
Thule Group AB,THULE,0.02%
"Tokyo Tatemono Co., Ltd.",8804,0.02%
Industrivarden AB Class C,INDU.C,0.02%
Iluka Resources Limited,ILU,0.02%
"MERLIN Properties SOCIMI, S.A.",MRL,0.02%
Ultra Electronics Holdings plc,ULE,0.02%
Britvic plc,BVIC,0.02%
DiaSorin S.p.A.,DIA,0.02%
Bollore SE,BOL,0.02%
Kose Corporation,4922,0.02%
Wienerberger AG,WIE,0.02%
L E Lundbergforetagen AB Class B,LUND.B,0.02%
bioMerieux SA,BIM,0.02%
Aeroports de Paris SA,ADP,0.02%
Siegfried Holding AG,SFZN,0.02%
Ubisoft Entertainment SA,UBI,0.02%
"Siemens Gamesa Renewable Energy, S.A.",SGRE,0.02%
Crown Resorts Limited,CWN,0.02%
Eurazeo SA,RF,0.02%
Metcash Limited,MTS,0.02%
Hakuhodo Dy Holdings Incorporated,2433,0.02%
TUI AG,TUI,0.02%
Aedifica SA,AED,0.02%
Xinyi Glass Holdings Limited,868,0.02%
Proximus SA de droit public,PROX,0.02%
Gaztransport & Technigaz SA,GTT,0.02%
Kurita Water Industries Ltd.,6370,0.02%
Mapletree Industrial Trust,ME8U,0.02%
NH Foods Limited,2282,0.02%
Meridian Energy Limited,MEL,0.02%
"ZOZO, Inc.",3092,0.02%
ANA Holdings Inc.,9202,0.02%
Wartsila Oyj Abp,WRT1V,0.02%
Seiko Epson Corp.,6724,0.02%
Hang Lung Properties Limited,101,0.02%
Spectris plc,SXS,0.02%
Bellway p.l.c.,BWY,0.02%
Greggs plc,GRG,0.02%
Beijer Ref AB Class B,BEIJ.B,0.02%
OSB Group PLC,OSB,0.02%
"USS Co., Ltd.",4732,0.02%
"SCREEN Holdings Co., Ltd",7735,0.02%
Dassault Aviation SA,AM,0.02%
Befesa SA,BFSA,0.02%
Aisin Corporation,7259,0.02%
HOSHIZAKI Corp.,6465,0.02%
"Japan Post Bank Co., Ltd.",7182,0.02%
Remy Cointreau SA,RCO,0.02%
Galapagos NV,GLPG,0.02%
Man Group PLC,EMG,0.02%
Volvo AB Class A,VOLV.A,0.02%
IDP Education Ltd.,IEL,0.02%
Bravida Holding AB,BRAV,0.02%
Banco de Sabadell SA,SAB,0.02%
"Capcom Co., Ltd.",9697,0.02%
CTS Eventim AG & Co. KGaA,EVD,0.02%
TAG Immobilien AG,TEG,0.02%
Mapletree Commercial Trust,N2IU,0.02%
Valeo SE,FR,0.02%
Reply S.p.A.,REY,0.02%
Bankinter SA,BKT,0.02%
FOOD & LIFE COMPANIES LTD.,3563,0.02%
MatsukiyoCocokara & Co.,3088,0.02%
TechnoPro Holdings Inc.,6028,0.02%
Alony Hetz Properties & Investments Ltd.,ALHE,0.02%
Allreal Holding AG,ALLN,0.02%
Softcat Plc,SCT,0.02%
Arcadis NV,ARCAD,0.02%
"Odakyu Electric Railway Co., Ltd.",9007,0.02%
Samhallsbyggnadsbolaget I Norden AB Class B,SBB.B,0.02%
Worley Limited,WOR,0.02%
Inchcape plc,INCH,0.02%
Flughafen Zurich AG,FHZN,0.02%
voestalpine AG,VOE,0.02%
Demant A/S,DEMANT,0.02%
Reece Limited,REH,0.02%
BillerudKorsnas AB,BILL,0.02%
Husqvarna AB Class B,HUSQ.B,0.02%
ORIX JREIT Inc.,8954,0.02%
DKSH Holding AG,DKSH,0.02%
Singapore Exchange Ltd.,S68,0.02%
Italgas SpA,IG,0.02%
SPIE SA,SPIE,0.02%
HUGO BOSS AG,BOSS,0.02%
Sojitz Corp.,2768,0.02%
Securitas AB Class B,SECU.B,0.02%
"Hulic Co., Ltd.",3003,0.02%
Enagas SA,ENG,0.02%
Israel Corporation Ltd.,ILCO,0.02%
Nyfosa AB,NYF,0.02%
Latour AB Investment Class B,LATO.B,0.02%
Alten SA,ATE,0.02%
Qube Holdings Ltd.,QUB,0.02%
Pacific Basin Shipping Limited,2343,0.02%
Bezeq The Israel Telecommunication Corp. Ltd.,BEZQ,0.02%
LondonMetric Property Plc,LMP,0.02%
freenet AG,FNTN,0.02%
AVEVA Group plc,AVV,0.02%
Ryman Healthcare Ltd.,RYM,0.02%
Mazda Motor Corp.,7261,0.02%
Telecom Italia S.p.A.,TIT,0.02%
"Hitachi Metals, Ltd.",5486,0.02%
"Rohto Pharmaceutical Co., Ltd.",4527,0.02%
Fletcher Building Limited,FBU,0.02%
Industrivarden AB Class A,INDU.A,0.02%
Dufry AG,DUFN,0.02%
SimCorp A/S,SIM,0.02%
Japan Prime Realty Investment Corporation,8955,0.02%
"Concordia Financial Group, Ltd.",7186,0.02%
Clariant AG,CLN,0.02%
ALK-abello A/S Class B,ALK.B,0.02%
ABCAM PLC,ABC,0.02%
IHI Corporation,7013,0.02%
Jyske Bank A/S,JYSK,0.02%
Carsales.Com Limited,CAR,0.02%
United Internet AG,UTDI,0.02%
Mercury NZ Ltd.,MCY,0.02%
Yangzijiang Shipbuilding (Holdings) Ltd.,BS6,0.02%
"Koito Manufacturing Co., Ltd.",7276,0.02%
Investec plc,INVP,0.02%
"NIPPON EXPRESS HOLDINGS,INC.",9147,0.02%
NetLink NBN Trust,CJLU,0.02%
Sino Land Co. Ltd.,83,0.02%
"Shizuoka Bank, Ltd.",8355,0.02%
Tokyu Fudosan Holdings Corp.,3289,0.02%
Evotec SE,EVT,0.02%
"Kobayashi Pharmaceutical Co., Ltd.",4967,0.02%
Hera S.p.A.,HER,0.02%
Nikon Corp.,7731,0.02%
Virgin Money UK Plc,VMUK,0.02%
"Kobe Bussan Co., Ltd.",3038,0.02%
Telefonica Deutschland Holding AG,O2D,0.02%
AGL Energy Limited,AGL,0.02%
Fortnox AB,FNOX,0.02%
AIXTRON SE,AIXA,0.02%
Covivio SA,COV,0.02%
United Urban Investment Corporation,8960,0.02%
Big Yellow Group PLC,BYG,0.02%
Swire Pacific Limited Class A,19,0.02%
Ringkjoebing Landbobank A/S,RILBA,0.02%
Renault SA,RNO,0.02%
Electrolux AB Class B,ELUX.B,0.02%
Toho Co. Ltd.,9602,0.02%
Downer EDI Limited,DOW,0.02%
Games Workshop Group PLC,GAW,0.02%
"Shinko Electric Industries Co., Ltd.",6967,0.02%
Kongsberg Gruppen ASA,KOG,0.02%
Amundi SA,AMUN,0.02%
RATIONAL AG,RAA,0.02%
IMI plc,IMI,0.02%
Infratil Limited,IFT,0.02%
Leroy Seafood Group ASA,LSG,0.02%
Valmet Corp,VALMT,0.02%
Otsuka Corporation,4768,0.02%
Rotork plc,ROR,0.02%
Sims Ltd.,SGM,0.02%
Hiscox Ltd,HSX,0.02%
Faurecia Societe europeenne,EO,0.02%
Huhtamaki Oyj,HUH1V,0.02%
Fabege AB,FABG,0.02%
Grab Holdings Ltd. (Singapore) Class A,GRAB,0.02%
Interpump Group S.p.A.,IP,0.02%
KION GROUP AG,KGX,0.02%
ITV PLC,ITV,0.02%
LIXIL Corporation,5938,0.02%
Royal Mail plc,RMG,0.02%
"Santen Pharmaceutical Co., Ltd.",4536,0.02%
First International Bank of Israel Ltd,FIBI,0.02%
Steadfast Group Limited,SDF,0.02%
Grafton Group Plc,GFTU,0.02%
Futu Holdings Ltd. Sponsored ADR Class A,FUTU,0.01%
Melco Resorts & Entertainment Limited Sponsored ADR,MLCO,0.01%
Millicom International Cellular SA Swedish Depository Receipt,TIGO,0.01%
Kindred Group plc Shs Swedish Depository Receipts,KIND,0.01%
Coronado Global Resources Inc. Shs Chess Depository Interests Repr 10 Sh,CRN,0.01%
TKH Group N.V. Cert,TWEKA,0.01%
Sixt SE Pref,SIX3,0.01%
Fuchs Petrolub SE Pref,FPE3,0.01%
Jungheinrich AG Pref,JUN3,0.01%
"Nishimatsu Construction Co., Ltd.",1820,0.01%
Ninety One Plc,N91,0.01%
"Chugoku Bank, Limited",8382,0.01%
"Sumitomo Rubber Industries, Ltd.",5110,0.01%
UNIQA Insurance Group AG,UQA,0.01%
"Aica Kogyo Company, Limited",4206,0.01%
"Milbon Co., Ltd.",4919,0.01%
Amano Corporation,6436,0.01%
Kloeckner & Co SE,KCO,0.01%
Ibstock Plc,IBST,0.01%
"Menicon Co., Ltd.",7780,0.01%
Technogym S.p.A,TGYM,0.01%
Harmonic Drive Systems Inc.,6324,0.01%
WH Smith PLC,SMWH,0.01%
Ingenia Communities Group,INA,0.01%
"Mori Trust Sogo Reit, Inc.",8961,0.01%
"Nagase & Co., Ltd.",8012,0.01%
Pirelli & C. S.p.A.,PIRC,0.01%
"DCM Holdings Co., Ltd.",3050,0.01%
Rami Levi Chain Stores Hashikma Marketing 2006 Ltd,RMLI,0.01%
Topdanmark A/S,TOP,0.01%
"Money Forward, Inc.",3994,0.01%
"Hirogin Holdings, Inc.",7337,0.01%
Workspace Group PLC,WKP,0.01%
"Sumitomo Forestry Co., Ltd.",1911,0.01%
Uniper SE,UN01,0.01%
Sakata Seed Corporation,1377,0.01%
Corporate Travel Management Limited,CTD,0.01%
"Iida Group Holdings Co., Ltd.",3291,0.01%
Dometic Group AB,DOM,0.01%
Bank of East Asia Ltd.,23,0.01%
Hang Lung Group Limited,10,0.01%
InPost S.A.,INPST,0.01%
Synthomer PLC,SYNT,0.01%
Arena REIT,ARF,0.01%
Star Entertainment Group Limited,SGR,0.01%
Sectra AB Class B,SECT.B,0.01%
boohoo group Plc,BOO,0.01%
Isetan Mitsukoshi Holdings Ltd.,3099,0.01%
"Japan Steel Works, Ltd.",5631,0.01%
Japan Hotel Reit Investment Corporation,8985,0.01%
Scatec ASA,SCATC,0.01%
Frontline Ltd.,FRO,0.01%
"Konica Minolta, Inc.",4902,0.01%
Rinnai Corporation,5947,0.01%
Atos SE,ATO,0.01%
Aperam SA,APAM,0.01%
Kenedix Retail REIT Corp,3453,0.01%
Stadler Rail AG,SRAIL,0.01%
"Kansai Paint Co., Ltd.",4613,0.01%
Schweiter Technologies AG,SWTQ,0.01%
Paragon Banking Group PLC,PAG,0.01%
Mitsubishi Logistics Corporation,9301,0.01%
Icade SA,ICAD,0.01%
Forbo Holding AG,FORN,0.01%
"DMG MORI CO., LTD.",6141,0.01%
"Sumitomo Warehouse Co., Ltd.",9303,0.01%
METRO AG,B4B,0.01%
"JAFCO Group Co., Ltd.",8595,0.01%
"Mabuchi Motor Co., Ltd.",6592,0.01%
Lagardere SA,MMB,0.01%
JENOPTIK AG,JEN,0.01%
Amot Investments Ltd.,AMOT,0.01%
Brickworks Ltd,BKW,0.01%
ALSO Holding AG,ALSN,0.01%
Valneva SE,VLA,0.01%
Ushio Inc.,6925,0.01%
ChemoMetec A/S,CHEMM,0.01%
KBC Ancora SCA,KBCA,0.01%
COMSYS Holdings Corporation,1721,0.01%
"Gungho Online Entertainment, Inc.",3765,0.01%
"Tokyo Seimitsu Co., Ltd",7729,0.01%
Centamin plc,CEY,0.01%
Hammerson plc,HMSO,0.01%
"Credit Saison Co., Ltd.",8253,0.01%
Cairn Homes PLC,C5H,0.01%
NEC Networks & System Integration Corporation,1973,0.01%
Toshiba Tec Corp.,6588,0.01%
"Sumitomo Bakelite Co., Ltd.",4203,0.01%
GMO Internet Inc.,9449,0.01%
BMO Commercial Property Trust Limited,BCPT,0.01%
Flow Traders NV,FLOW,0.01%
Aker Solutions ASA,AKSO,0.01%
Technip Energies NV,TE,0.01%
Peptidream Inc.,4587,0.01%
Invocare Limited,IVC,0.01%
Systena Corporation,2317,0.01%
AS ONE Corporation,7476,0.01%
Kainos Group PLC,KNOS,0.01%
JGC Holdings Corporation,1963,0.01%
"Kobe Steel, Ltd.",5406,0.01%
Paladin Energy Ltd,PDN,0.01%
Sonae SGPS SA,SON,0.01%
"Miura Co., Ltd.",6005,0.01%
Victrex plc,VCT,0.01%
DIP Corporation,2379,0.01%
Intrum AB,INTRUM,0.01%
Nakanishi Inc.,7716,0.01%
Austevoll Seafood ASA,AUSS,0.01%
"Daiichikosho Co., Ltd.",7458,0.01%
GS Yuasa Corporation,6674,0.01%
Vallourec SA,VK,0.01%
Magellan Financial Group Ltd,MFG,0.01%
Entra ASA,ENTRA,0.01%
Deliveroo plc Class A,ROO,0.01%
Krones AG,KRN,0.01%
FP Corporation,7947,0.01%
"ABC-MART, INC.",2670,0.01%
"Kagome Co., Ltd.",2811,0.01%
Daicel Corporation,4202,0.01%
Bossard Holding AG,BOSN,0.01%
Glanbia Plc,GL9,0.01%
"Indra Sistemas, S.A. Class A",IDR,0.01%
PATRIZIA AG,PAT,0.01%
Ashmore Group plc,ASHM,0.01%
ARB Corporation Limited,ARB,0.01%
Huber + Suhner AG,HUBN,0.01%
MIPS AB,MIPS,0.01%
Bodycote plc,BOY,0.01%
"Laboratorios Farmaceuticos Rovi, S.A.",ROVI,0.01%
Brewin Dolphin Holdings PLC,BRW,0.01%
Hazama Ando Corp.,1719,0.01%
ROUND ONE Corporation,4680,0.01%
Serco Group plc,SRP,0.01%
"CIE Automotive, S.A.",CIE,0.01%
CSR Limited,CSR,0.01%
HUB24 Limited,HUB,0.01%
Corbion NV,CRBN,0.01%
G.U.D. Holdings Limited,GUD,0.01%
Mori Hills Reit Investment Corporation,3234,0.01%
"Sohgo Security Services Co., Ltd.",2331,0.01%
Megaport Ltd.,MP1,0.01%
Royal Vopak NV,VPK,0.01%
"Shikoku Electric Power Company, Incorporated",9507,0.01%
Hibernia REIT PLC,HBRN,0.01%
Kawasaki Heavy Industries Ltd.,7012,0.01%
NWS Holdings Limited,659,0.01%
Rorze Corporation,6323,0.01%
"Yamaguchi Financial Group, Inc.",8418,0.01%
"Tomy Company, Ltd.",7867,0.01%
Perpetual Limited,PPT,0.01%
Nordex SE,NDX1,0.01%
Fraport AG,FRA,0.01%
"KYORIN Holdings, Inc.",4569,0.01%
CapitaLand China Trust,AU8U,0.01%
Charter Hall Long WALE REIT,CLW,0.01%
Seven Group Holdings Limited,SVW,0.01%
KATITAS CO. LTD.,8919,0.01%
"Hitachi Transport System,Ltd.",9086,0.01%
Granges AB,GRNG,0.01%
Redrow plc,RDW,0.01%
Peab AB Class B,PEAB.B,0.01%
K\'S Holdings Corporation,8282,0.01%
Mediclinic International Plc,MDC,0.01%
Anritsu Corporation,6754,0.01%
Domain Holdings Australia Ltd.,DHG,0.01%
888 Holdings Plc,888,0.01%
Mitsubishi Motors Corporation,7211,0.01%
Kardex Holding AG,KARN,0.01%
Genesis Energy Limited,GNE,0.01%
Borregaard ASA,BRG,0.01%
INFICON Holding AG,IFCN,0.01%
Osterreichische Post AG,POST,0.01%
Fox-Wizel Ltd.,FOX,0.01%
Z Energy Ltd.,ZEL,0.01%
Vitasoy International Holdings Limited,345,0.01%
Ipsos SA,IPS,0.01%
FirstGroup plc,FGP,0.01%
Bavarian Nordic A/S,BAVA,0.01%
Bekaert SA,BEKB,0.01%
Redde Northgate PLC,REDD,0.01%
Telenet Group Holding NV,TNET,0.01%
Aryzta AG,ARYN,0.01%
Revenio Group Oyj,REG1V,0.01%
Singapore Press Holdings Limited,T39,0.01%
"Taisho Pharmaceutical Holdings Co., Ltd.",4581,0.01%
Air France-KLM SA,AF,0.01%
Nichirei Corporation,2871,0.01%
Vienna Insurance Group AG Wiener Versicherung Gruppe,VIG,0.01%
Boral Limited,BLD,0.01%
Orora Ltd.,ORA,0.01%
NOS SGPS SA,NOS,0.01%
Paz Oil Co. Ltd.,PZOL,0.01%
Barco NV,BAR,0.01%
Telekom Austria AG,TKA,0.01%
Reliance Worldwide Corp. Ltd.,RWC,0.01%
"Ryohin Keikaku Co., Ltd.",7453,0.01%
Gerresheimer AG,GXI,0.01%
Komax Holding AG,KOMN,0.01%
ADLER Group SA,ADJ,0.01%
Summerset Group Holdings Limited,SUM,0.01%
Meyer Burger Technology AG,MBTN,0.01%
NSI N.V.,NSI,0.01%
"Tokyo Steel Manufacturing Co., Ltd.",5423,0.01%
Playtech plc,PTEC,0.01%
"Comforia Residential REIT, Inc.",3282,0.01%
Adeka Corp.,4401,0.01%
NKT A/S,NKT,0.01%
Sixt SE,SIX2,0.01%
Per Aarsleff Holding A/S Class B,PAAL.B,0.01%
"Ship Healthcare Holdings, Inc.",3360,0.01%
"Mitsubishi Gas Chemical Company, Inc.",4182,0.01%
Schibsted Asa Class A,SCHA,0.01%
SKYCITY Entertainment Group Limited,SKC,0.01%
SCSK Corporation,9719,0.01%
Pharma Mar SA,PHM,0.01%
"Kyoritsu Maintenance Co., Ltd.",9616,0.01%
Banque Cantonale Vaudoise,BCVN,0.01%
NORMA Group SE,NOEJ,0.01%
HKBN Ltd.,1310,0.01%
Shop Apotheke Europe NV,SAE,0.01%
Nippon Sanso Holdings Corporation,4091,0.01%
Oracle Corporation Japan,4716,0.01%
Albioma,ABIO,0.01%
Harvey Norman Holdings Ltd,HVN,0.01%
Air Water Inc.,4088,0.01%
"Morinaga Milk Industry Co., Ltd.",2264,0.01%
Morgan Advanced Materials plc,MGAM,0.01%
"Benesse Holdings, Inc.",9783,0.01%
"Gunma Bank, Ltd.",8334,0.01%
Viva Energy Group Ltd.,VEA,0.01%
Nexans SA,NEX,0.01%
Fancl Corporation,4921,0.01%
"Citizen Watch Co, Ltd.",7762,0.01%
LaSalle LOGIPORT REIT,3466,0.01%
ADBRI Limited,ABC,0.01%
Banca Popolare di Sondrio S.c.p.A.,BPSO,0.01%
"Matsui Securities Co., Ltd.",8628,0.01%
Genworth Mortgage Insurance Australia Ltd,GMA,0.01%
Xior Student Housing N.V.,XIOR,0.01%
New Hope Corporation Limited,NHC,0.01%
