IEFA: iShares Core MSCI EAFE ETF
Inception Date: 2012-10-18
Fund Holdings as of: 2022-04-13
Total Assets Under Management (in thousands):	98741000
Shares Outstanding: 1445600000
Expense Ratio: 0.07%
Tracks This Index: MSCI EAFE Investable Market Index
ETF Database Category: Foreign Large Cap Equities
Issuer: Blackrock Financial Management
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IEFA


Holding,Symbol,Weighting
Telefonaktiebolaget LM Ericsson Class B,ERIC.B,0.15%
Ferrari NV,RACE,0.15%
Compagnie de Saint-Gobain SA,SGO,0.15%
Bayerische Motoren Werke AG,BMW,0.15%
Swiss Re AG,SREN,0.15%
Fortescue Metals Group Ltd,FMG,0.15%
Wolters Kluwer NV,WKL,0.15%
Koninklijke Philips N.V.,PHIA,0.15%
"FAST RETAILING CO., LTD.",9983,0.15%
STMicroelectronics NV,STM,0.14%
United Overseas Bank Ltd. (Singapore),U11,0.14%
Merck KGaA,MRK,0.14%
Cellnex Telecom S.A.,CLNX,0.14%
Tesco PLC,TSCO,0.14%
ASSA ABLOY AB Class B,ASSA.B,0.14%
Sampo Oyj Class A,SAMPO,0.14%
E.ON SE,EOAN,0.13%
Heineken NV,HEIA,0.13%
Orange SA,ORA,0.13%
DENSO CORPORATION,6902,0.13%
Canon Inc.,7751,0.13%
"Industria de Diseno Textil, S.A.",ITX,0.13%
Genmab A/S,GMAB,0.13%
Legrand SA,LR,0.13%
Deutsche Bank Aktiengesellschaft,DBK,0.13%
SSE plc,SSE,0.13%
Holcim Ltd,HOLN,0.13%
SEGRO plc,SGRO,0.12%
BT Group plc,BT.A,0.12%
Repsol SA,REP,0.12%
"Chugai Pharmaceutical Co., Ltd.",4519,0.12%
Teleperformance SA,TEP,0.12%
Orsted,ORSTED,0.12%
ORIX Corporation,8591,0.12%
Sandvik AB,SAND,0.12%
UniCredit S.p.A.,UCG,0.12%
Volvo AB Class B,VOLV.B,0.12%
Olympus Corp.,7733,0.12%
ENGIE SA.,ENGI,0.12%
Sonova Holding AG,SOON,0.12%
Compagnie Generale des Etablissements Michelin SCA,ML,0.12%
Woodside Petroleum Ltd,WPL,0.12%
Assicurazioni Generali S.p.A.,G,0.12%
Veolia Environnement SA,VIE,0.11%
Bridgestone Corporation,5108,0.11%
"Dai-ichi Life Holdings,Inc.",8750,0.11%
