VXX: iPath Series B S&P 500 VIX Short-Term Futures ETN
Inception Date: 2018-01-19
Fund Holdings as of: 2020-09-25
Total Assets Under Management (in thousands):	532568
Shares Outstanding: 26865000
Expense Ratio: 0.89%
Tracks This Index: S&P 500 VIX Short-Term Futures Index Total Return
ETF Database Category: Volatility
Issuer: Barclays Capital
Structure: ETN
ETF Home Page: https://etfdb.com/etf/VXX


Holding,Symbol,Weighting
CBOE Volatility Index (VIX) Futures,UX,100.0%
