VEA: Vanguard FTSE Developed Markets ETF
Inception Date: 2007-07-20
Fund Holdings as of: 2022-02-28
Total Assets Under Management (in thousands):	105776000
Shares Outstanding: 2239580000
Expense Ratio: 0.05%
Tracks This Index: FTSE Developed ex US All Cap Net Tax (US RIC) Index
ETF Database Category: Foreign Large Cap Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VEA


Holding,Symbol,Weighting
Astellas Pharma Inc.,4503,0.14%
Constellation Software Inc.,CSU,0.14%
Woolworths Group Ltd,WOW,0.14%
Sun Life Financial Inc.,SLF,0.14%
Koninklijke DSM N.V.,DSM,0.14%
Bayerische Motoren Werke AG,BMW,0.14%
Deutsche Boerse AG,DB1,0.14%
Alimentation Couche-Tard Inc. Class A,ATD,0.14%
Dassault Systemes SA,DSY,0.14%
Koninklijke Philips N.V.,PHIA,0.14%
Nordea Bank Abp,NDA.SE,0.13%
Goodman Group,GMG,0.13%
United Overseas Bank Ltd. (Singapore),U11,0.13%
E.ON SE,EOAN,0.13%
Barrick Gold Corporation,ABX,0.13%
BAE Systems plc,BA,0.13%
RWE AG,RWE,0.13%
Partners Group Holding AG,PGHN,0.13%
Nokia Oyj,NOKIA,0.13%
Ashtead Group plc,AHT,0.13%
Tesco PLC,TSCO,0.13%
Volvo AB Class B,VOLV.B,0.13%
Compagnie de Saint-Gobain SA,SGO,0.13%
Oversea-Chinese Banking Corporation Limited,O39,0.13%
Equinor ASA,EQNR,0.13%
L\'Oreal SA,OR,0.13%
Koninklijke Ahold Delhaize N.V.,AD,0.13%
STMicroelectronics NV,STM,0.12%
Amadeus IT Group SA Class A,AMS,0.12%
Air Liquide SA,AI,0.12%
National Bank of Canada,NA,0.12%
UniCredit S.p.A.,UCG,0.12%
Cellnex Telecom S.A.,CLNX,0.12%
"Industria de Diseno Textil, S.A.",ITX,0.12%
Telefonaktiebolaget LM Ericsson Class B,ERIC.B,0.12%
Fujitsu Limited,6702,0.12%
Ferrari NV,RACE,0.12%
Franco-Nevada Corporation,FNV,0.12%
Swiss Re AG,SREN,0.12%
Wolters Kluwer NV,WKL,0.12%
"FAST RETAILING CO., LTD.",9983,0.12%
Transurban Group Ltd.,TCL,0.12%
Mitsubishi Electric Corp.,6503,0.11%
Telefonica SA,TEF,0.11%
Heineken NV,HEIA,0.11%
"Samsung SDI Co., Ltd",006400,0.11%
Orsted,ORSTED,0.11%
Merck KGaA,MRK,0.11%
ORIX Corporation,8591,0.11%
Hexagon AB Class B,HEXA.B,0.11%
ASSA ABLOY AB Class B,ASSA.B,0.11%
Legrand SA,LR,0.11%
