Summary data collected by the Greenhouse Gas Reporting Program for 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 08/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),GHG Quantity Associated with Coal-based liquid fuel production,GHG Quantity Associated with Petroleum Products Produced,GHG Quantity Associated with Petroleum Products Imported,GHG Quantity Associated with Petroleum Products Exported,GHG Quantity Associated with Natural Gas Supply,GHG Quantity Associated with Natural Gas Liquids Supply,GHG Quantity Associated with CO2 Supply ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006203,110032953294,ARKALON ETHANOL LLC,LIBERAL,KS,67901,8664 RD P,SEWARD COUNTY,37.107705,-100.796294,325193,"C,PP",,,,,,,confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005721,110000380061,"ARKEMA, INC.",CALVERT CITY,KY,42029,4444 INDUSTRIAL PARKWAY,MARSHALL COUNTY,37.056699,-88.365727,325120,"C,L,OO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002515,110043804096,ARTESIA GAS PLANT,ARTESIA,NM,88210,,EDDY COUNTY,32.7564,-104.2111,211130,"C,PP,UU,W-PROC",,,,,,,confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010749,110043482610,"ATLANTIC TRADING & MARKETING, INC.",HOUSTON,TX,77002,"1201 Louisiana St., Suite 1400",HARRIS COUNTY,29.74993,-95.48193,424720,"MM-EXP,MM-IMP",,,confidential,10119601.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004285,110055509365,AUSTIN UTILITIES,AUSTIN,MN,55912,1908 14th St NE,MOWER COUNTY,43.67032,-92.97966,221210,NN-LDC,,,,,139479.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005770,110056954096,AUX SABLE LIQUID PRODUCTS INC,MORRIS,IL,60450,6155 EAST U.S. ROUTE 6,GRUNDY COUNTY,41.413624,-88.301186,211130,"C,NN-FRAC,W-PROC",,,,,,6720086.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014033,,AW PRODUCT SALES AND MARKETING INC,San Mateo,CA,94401,"204 E. 2nd Avenue, Unit #343",,37.5664934493398,-122.323497222573,522293,OO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013097,110000356347,Accella Polyurethane Systems,Cartersville,GA,30120,100 Enterprise Drive,BARTOW COUNTY,34.14721,-84.83538,326150,OO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012102,110069374670,Advance Auto Parts,Roanoke,VA,24012,5008 Airport Road,ROANOKE CITY,37.318085,-79.955921,441310,OO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001385,110055506849,"Advanced Specialty Gases, LLC",Reno,NV,89512,135 Catron Dr.,WASHOE COUNTY,39.57021,-119.82243,325120,OO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012089,110055855800,"Aemetis Advanced Fuels Keyes, Inc.",Ceres,CA,95307,4209 Jessup Road,STANISLAUS COUNTY,37.553007,-120.916475,325193,"C,PP",,,,,,,confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008560,110000562935,Air Liquide Electronics U.S. LP,Morrisville,PA,19067,19 Steel Road West,BUCKS COUNTY,40.175,-74.771111,325120,OO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006402,110043802819,Air Products Port Arthur Facility,Port Arthur,TX,77640,1801 S Gulfway Dr within Valero Refinery,JEFFERSON COUNTY,29.859444,-93.965833,325120,"C,P,PP",,,,,,,confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013767,110070705169,Airgas Nitrous Oxide Corporation,Tooele,UT,84074,107 Feldspar Street,TOOELE COUNTY,40.53206,-112.334448,325120,OO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004725,110055509631,Airgas USA LLC - Scott Medical Products,Plumsteadville,PA,18949,6141 Easton Road Bldg. #3,BUCKS COUNTY,40.384845,-75.146286,325120,"L,OO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003364,110043798352,"Airgas USA, LLC",Houston,TX,77041,12800 West Little York Rd,GWINNETT COUNTY,33.999241,-84.070449,424690,OO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010984,110005667279,"Albany Water, Gas and Light Commission",Albany,GA,31701,207 Pine Ave.,DOUGHERTY COUNTY,31.578458,-84.151928,221210,NN-LDC,,,,,320735.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004861,110015379455,"Alto ICP, LLC",PEKIN,IL,61554,1301 S FRONT ST,TAZEWELL COUNTY,40.556501,-89.666235,312140,"C,II,PP",,,,,,,confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000413,110000438036,"Alto Pekin, LLC",PEKIN,IL,61554,1300 SOUTH 2ND STREET,Tazewell,40.555,-89.6628,325193,"C,II,PP",,,,,,,confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008026,110010724216,Ameren Illinois,Peoria,IL,61602,300 Liberty Street,PEORIA COUNTY,40.69048,-89.59244,221210,"NN-LDC,W-LDC",,,,,9495760.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004034,110011771948,Ameren Missouri,St. Louis,MO,63103,1901 Chouteau Avenue,ST. LOUIS CITY,38.620785,-90.211635,221210,"NN-LDC,W-LDC",,,,,1123626.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010290,110010597755,"American Honda Motor Co., Inc",Torrance,CA,90501,1919 Torrance Blvd,LOS ANGELES COUNTY,33.83639,-118.31502,336111,QQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002037,110000441291,Anheuser-Busch LLC. - St. Louis Brewery,St. Louis,MO,63118,One Busch Place,ST. LOUIS CITY,38.5961,-90.2128,312120,"C,PP",,,,,,,confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003366,110055508464,"Apex Oil Company, Inc.",Clayton,MO,63105,8235 forsyth Blvd. Suite 400,ST. LOUIS COUNTY,38.65149,-90.34341,424720,MM-IMP,,,confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005661,110050297936,Archer Daniels Midland Co.,DECATUR,IL,62521,4666 FARIES PARKWAY,Macon,39.8675,-88.885,311221,"C,II,PP,RR (RPT)",,,,,,,confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004975,110025098249,Arkansas Oklahoma Gas Corp (AR),Fort Smith,AR,72903,5030 South S Street,SEBASTIAN COUNTY,35.36353,-94.37573,221210,NN-LDC,,,,,392855.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006481,110025080267,Arkansas Oklahoma Gas Corp (OK),Fort Smith,AR,72903,5030 South S Street,SEBASTIAN COUNTY,35.36353,-94.37573,221210,NN-LDC,,,,,107031.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005320,110000876071,Arkema Inc.,King of Prussia,PA,19406,900 First Avenue,MONTGOMERY COUNTY,40.09511,-75.4056,325120,OO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004087,110000714889,Armstrong Gas Plant,Yoakum,TX,77995,13072 FM 682,DEWITT COUNTY,29.133889,-97.039161,211130,"C,NN-FRAC,W-PROC,W-NGTC",,,,,,609918.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014005,110070943592,"Artsen Chemical America, LLC",Madison,NJ,07940,19 Loveland Street,MORRIS COUNTY,40.76642,-74.41764,424690,OO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000158,110007235269,Ascend (Decatur Plant),DECATUR,AL,35601,1050 CHEMSTRAND AVENUE,Morgan,34.6339,-87.0244,325199,"C,P,PP",,,,,,,confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007872,110043799654,Atlanta Gas Light Company,Atlanta,GA,30309,Ten Peachtree Place,FULTON COUNTY,33.780708,-84.387782,221210,"NN-LDC,W-LDC",,,,,11450658.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010365,110025362195,Atmore Utilities Board,Atmore,AL,36504,201 East Louisville Ave.,ESCAMBIA COUNTY,31.02433,-87.49046,221210,NN-LDC,,,,,21932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004794,110070081906,Atmos Energy Corporation - Colorado,Dallas,TX,75240,5430 LBJ Freeway,DALLAS COUNTY,32.925488,-96.816137,221210,"NN-LDC,W-LDC",,,,,1045532.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001388,110043973153,Atmos Energy Corporation - Kansas,Dallas,TX,75240,5430 LBJ Freeway,DALLAS COUNTY,32.92548,-96.81613,221210,"NN-LDC,W-LDC",,,,,1063096.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001389,110043973153,Atmos Energy Corporation - Kentucky,Dallas,TX,75240,5430 LBJ Freeway,DALLAS COUNTY,32.92548,-96.81613,221210,"NN-LDC,W-LDC",,,,,2550886.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001390,110043973153,Atmos Energy Corporation - Louisiana,Dallas,TX,75240,5430 LBJ Freeway,DALLAS COUNTY,32.92548,-96.81613,221210,"NN-LDC,W-LDC",,,,,2626810.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001391,110043973153,Atmos Energy Corporation - Mississippi,Dallas,TX,75240,5430 LBJ Freeway,DALLAS COUNTY,32.92548,-96.81613,221210,"NN-LDC,W-LDC",,,,,1967262.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006887,110043973153,Atmos Energy Corporation - Tennessee,Dallas,TX,75240,5430 LBJ Freeway,DALLAS COUNTY,32.92548,-96.81613,221210,"NN-LDC,W-LDC",,,,,1428168.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001398,110043973153,Atmos Energy Corporation - Texas,Dallas,TX,75240,5430 LBJ Freeway,DALLAS COUNTY,32.92548,-96.81613,221210,"NN-LDC,W-LDC",,,,,13157984.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001402,110043973153,Atmos Energy Corporation- Virginia,Dallas,TX,75240,5430 LBJ Freeway,DALLAS COUNTY,32.92548,-96.81613,221210,"NN-LDC,W-LDC",,,,,583583.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004818,110056972307,"Attis Ethanol Fulton, LLC",FULTON,NY,13069,376 OWENS RD,OSWEGO COUNTY,43.3,-76.381,325193,"C,PP",,,,,,,confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006588,110070081950,AutoZone Parts Inc.,Memphis,TN,38103,"123 South Front Street, Dept 8190",SHELBY COUNTY,35.14185,-90.05554,441310,OO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008835,110045552763,Aux Sable Midstream - Palermo Conditioning Plant,Palermo,ND,58769,1638 74th Ave. NW,MOUNTRAIL COUNTY,48.301166,-102.220966,211130,"C,NN-FRAC,W-PROC",,,,,,confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003291,110069709113,Avista Corporation-ID,Spokane,WA,99220,1411 E Mission,SPOKANE COUNTY,47.66,-117.39,221210,NN-LDC,,,,,841875.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
