Summary data collected by the Greenhouse Gas Reporting Program for 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 08/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab),,,,,,,,,,,,,,Total Emissions from Gathering & Boosting by Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,Basin,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Industry Type (subparts),Total reported emissions from Gathering & Boosting,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013388,110070525495,Altus Gathering and Boosting,430 - Permian Basin,San Antonio,TX,78257,"17802 IH-10 West, STE300",BEXAR COUNTY,29.609751,-98.603691,211130,W-GB,"634,685.57","621,579.20","12,826.25",280.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012777,110070225670,Amplify Energy Operation LLC 260 East Texas Basin GB,260 - East Texas Basin,Houston,TX,77002,"500 Dallas Street, Suite 1600",HARRIS COUNTY,29.75788,-95.37013,486210,W-GB,"39,535.47","33,424.70","6,092.00",18.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012714,110070082422,Antero Midstream LLC- 160 Basin,160 - Appalachian Basin,Denver,CO,80202,1615 Wynkoop Street,DENVER COUNTY,39.752016,-105.000734,221210,W-GB,"46,426.09","44,626.30","1,776.25",23.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012652,110070082422,Antero Midstream LLC- 160A Basin,160A - Appalachian Basin (Eastern Overthrust Area),Denver,CO,80202,1615 Wynkoop Street,DENVER COUNTY,39.752016,-105.000734,221210,W-GB,"1,507,874.85","1,453,046.50","53,986.50",841.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013853,110070543180,Apache Corporation - Gathering and Boosting Gulf Coast 220,"220 - Gulf Coast Basin (LA, TX)",Houston,TX,77056,"2000 Post Oak Blvd, Suite 100",HARRIS COUNTY,29.7446,-95.4612,211120,W-GB,"21,470.99","18,763.10","2,699.25",8.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013392,110070543180,Apache Corporation - Gathering and Boosting Permian 430,430 - Permian Basin,Houston,TX,77056,"2000 Post Oak Blvd, Suite 100",HARRIS COUNTY,29.46843399,-102.96056938,211120,W-GB,"586,405.47","465,998.00","120,179.50",227.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012584,110070082380,Appalachian Basin (Eastern Overthrust Area) Gathering and Boosting,160A - Appalachian Basin (Eastern Overthrust Area),Fort Worth,TX,76102,"1200 Summit Ave, Suite 320",TARRANT COUNTY,32.74631,-97.3416,486210,W-GB,"259,819.12","216,730.80","42,965.25",123.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012241,110070069539,Appalachian Basin Gathering & Boosting - AAPG Province 160A,160A - Appalachian Basin (Eastern Overthrust Area),Williamsport,PA,17701,"33 West Third Street, Suite 300",,30.16115,-95.45389,211130,W-GB,"134,659.54","81,841.40","52,772.25",45.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012861,110070106047,Arsenal Midstream LLC 160A Appalachian Basin GB,160A - Appalachian Basin (Eastern Overthrust Area),Wexford,PA,15090,"6031 Wallace Road Ext., Suite 300",ALLEGHENY COUNTY,40.63381,-80.0646,211130,W-GB,"45,015.65","38,852.90","6,141.00",21.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013230,,BCE-Mach III Midstream Holding LLC (Boosters - 360 Anadarko Basin GB,360 - Anadarko Basin,Oklahoma City,OK,73134,14201 Wireless Way St 300,,35.614130897666,-97.5802329067463,211130,W-GB,"37,311.69","30,702.20","6,592.50",16.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012452,110070082295,BPX Energy 220 Gulf Coast Basin GB,"220 - Gulf Coast Basin (LA, TX)",Houston,TX,77079,501 Westlake Park Blvd,HARRIS COUNTY,29.78037,-95.6295,211130,W-GB,"195,950.92","151,214.30","44,658.25",78.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012748,110070082479,Basin 220 South TX & South LA - BG,"220 - Gulf Coast Basin (LA, TX)",Dallas,TX,75201,1900 N. Akard,DALLAS COUNTY,32.7871,-96.80262,211130,W-GB,"1,906.40",26.90,"1,879.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012712,110040414851,Basin 430 West Texas BG,430 - Permian Basin,Dallas,TX,75201,1900 N Akard,DALLAS COUNTY,32.7871,-96.80262,211120,W-GB,"195,057.40","183,932.30","11,020.50",104.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012826,110070082219,Basin 540 Denver Julesburg – G&B,540 - Denver Basin,Houston,TX,77070,1001 Noble Energy Way,,29.9601879,-95.5587992,486210,W-GB,"525,827.44","334,006.50","191,655.25",165.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012272,110070082219,Basin 540 Denver Julesburg – NBL Midstream Holdings LLC,540 - Denver Basin,Houston,TX,77070,1001 Noble Energy Way,,29.9601879,-95.5587992,486210,W-GB,"65,807.87","59,320.60","6,460.75",26.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012713,110070082458,Berry Petroleum Company 575 Uinta Basin Gathering and Boosting,575 - Uinta Basin,Bakersfield,CA,93309,5201 Truxtun ave.,KERN COUNTY,35.368562,-119.060231,211130,W-GB,"29,495.07","20,149.20","9,334.25",11.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012219,110070209511,"Bighorn Gas Gathering, L.L.C 515 Powder River Basin",515 - Powder River Basin,Houston,TX,77002,"1001 Louisiana St, Suite 1000",HARRIS COUNTY,29.75816,-95.36782,211130,W-GB,286.40,0.40,286.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012412,110070082275,Black Bear Gathering and Boosting – Arkla Basin,230 - Arkla Basin,Frierson,LA,71027,1716 Friendship Rd,DE SOTO PARISH,32.234479,-93.68189,486210,W-GB,"18,980.44","16,836.90","2,134.00",9.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012800,110070082507,Black Hills Energy Arkansas LLC_345 Arkoma Basin_GB,345 - Arkoma Basin,Fayetteville,AR,72703,655 E. Millsap Road Suite 104,WASHINGTON COUNTY,36.11468,-94.14823,486210,W-GB,"57,501.16","9,262.60","48,232.00",6.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013930,,Blue Mountain Midstream - G&B - Basin 360,360 - Anadarko Basin,Tulsa,OK,74103,320 S Boston Ave. St 900,,36.1534636638646,-95.9899072870426,211130,W-GB,"43,533.86","38,910.00","4,603.00",20.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012563,110070082348,"Blue Racer Midstream, LLC 160 Appalachian Basin GB",160 - Appalachian Basin,Dallas,TX,75225,"5949 Sherry Lane, Suite 1300",DALLAS COUNTY,32.8623,-96.8101,211130,W-GB,"39,067.12","19,718.80","19,337.00",11.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012532,110070082348,"Blue Racer Midstream, LLC 160A Appalachian Basin (Eastern Overthrust Area) GB",160A - Appalachian Basin (Eastern Overthrust Area),Dallas,TX,75225,"5949 Sherry Lane, Suite 1300",DALLAS COUNTY,32.8623,-96.8101,211130,W-GB,"70,871.02","50,545.60","20,291.75",33.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012589,110070082385,Bluestone Gathering System,160A - Appalachian Basin (Eastern Overthrust Area),New Milford,PA,18834,1429 Oliver Rd,SUSQUEHANNA COUNTY,41.8211,-75.684814,486210,W-GB,"303,111.14","188,842.80","114,162.25",106.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012996,110070209451,"Brazos Delaware Gas, LLC 430 Permian GB”",430 - Permian Basin,Fort Worth,TX,76107,"3017 W. 7th St, suite 300",TARRANT COUNTY,32.75108,-97.36075,486210,W-GB,"302,423.40","292,731.30","9,528.50",163.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
